Candidate,Votes,County,race
MICHELLE LUJAN GRISHAM AND HOWIE C MORALES,3101,Curry,Governor and Lieutenant Governor
STEVE PEARCE AND MICHELLE GARCIA HOLMES,7103,Curry,Governor and Lieutenant Governor
Total Votes,10204,Curry,Governor and Lieutenant Governor
MICHELLE LUJAN GRISHAM AND HOWIE C MORALES,229,De Baca,Governor and Lieutenant Governor
STEVE PEARCE AND MICHELLE GARCIA HOLMES,587,De Baca,Governor and Lieutenant Governor
Total Votes,816,De Baca,Governor and Lieutenant Governor
MICHELLE LUJAN GRISHAM AND HOWIE C MORALES,36174,Dona Ana,Governor and Lieutenant Governor
STEVE PEARCE AND MICHELLE GARCIA HOLMES,23803,Dona Ana,Governor and Lieutenant Governor
Total Votes,59977,Dona Ana,Governor and Lieutenant Governor
MICHELLE LUJAN GRISHAM AND HOWIE C MORALES,4631,Eddy,Governor and Lieutenant Governor
STEVE PEARCE AND MICHELLE GARCIA HOLMES,11178,Eddy,Governor and Lieutenant Governor
Total Votes,15809,Eddy,Governor and Lieutenant Governor
MICHELLE LUJAN GRISHAM AND HOWIE C MORALES,7043,Grant,Governor and Lieutenant Governor
STEVE PEARCE AND MICHELLE GARCIA HOLMES,4750,Grant,Governor and Lieutenant Governor
Total Votes,11793,Grant,Governor and Lieutenant Governor
MICHELLE LUJAN GRISHAM AND HOWIE C MORALES,1021,Guadalupe,Governor and Lieutenant Governor
STEVE PEARCE AND MICHELLE GARCIA HOLMES,673,Guadalupe,Governor and Lieutenant Governor
Total Votes,1694,Guadalupe,Governor and Lieutenant Governor
MICHELLE LUJAN GRISHAM AND HOWIE C MORALES,178,Harding,Governor and Lieutenant Governor
STEVE PEARCE AND MICHELLE GARCIA HOLMES,300,Harding,Governor and Lieutenant Governor
Total Votes,478,Harding,Governor and Lieutenant Governor
MICHELLE LUJAN GRISHAM AND HOWIE C MORALES,784,Hidalgo,Governor and Lieutenant Governor
STEVE PEARCE AND MICHELLE GARCIA HOLMES,842,Hidalgo,Governor and Lieutenant Governor
Total Votes,1626,Hidalgo,Governor and Lieutenant Governor
MICHELLE LUJAN GRISHAM AND HOWIE C MORALES,3086,Lea,Governor and Lieutenant Governor
STEVE PEARCE AND MICHELLE GARCIA HOLMES,10845,Lea,Governor and Lieutenant Governor
Total Votes,13931,Lea,Governor and Lieutenant Governor
MICHELLE LUJAN GRISHAM AND HOWIE C MORALES,2625,Lincoln,Governor and Lieutenant Governor
STEVE PEARCE AND MICHELLE GARCIA HOLMES,5216,Lincoln,Governor and Lieutenant Governor
Total Votes,7841,Lincoln,Governor and Lieutenant Governor
