county,race,candidate,votes
Clark,"TRUSTEE, CLARK COUNTY SCHOOL DISTRICT G","SCALIA, RYAN",23478
Clark,"MEMBER, VIRGIN VALLEY WATER DISTRICT, MESQUITE","DAVIS, BEN K. (INCUMBENT)",3282
Clark,"MEMBER, VIRGIN VALLEY WATER DISTRICT, MESQUITE","BURROWS, JOHN",3024
Clark,"MEMBER, VIRGIN VALLEY WATER DISTRICT, MESQUITE","WALKER, JERE A.",2876
Clark,CITY OF MESQUITE COUNCILMEMBER SEAT 1,"RAMAKER, SANDRA",4126
Clark,CITY OF MESQUITE COUNCILMEMBER SEAT 1,"WITHELDER, GENO (INCUMBENT)",3073
Clark,CITY OF MESQUITE COUNCILMEMBER SEAT 3,"GAULT, GEORGE H.",3992
Clark,CITY OF MESQUITE COUNCILMEMBER SEAT 3,"BALLWEG, DAVID P. (INCUMBENT)",3118
Clark,CITY OF MESQUITE COUNCILMEMBER SEAT 4,"BLACK, ANN ""ANNIE""",3841
Clark,CITY OF MESQUITE COUNCILMEMBER SEAT 4,"FIELDING, KAREN",3568
Clark,"JUSTICE OF THE PEACE, BUNKERVILLE TWNSH","DODENBIER, DARRYLL B. (INCUMBENT)",233
Clark,"JUSTICE OF THE PEACE, BUNKERVILLE TWNSH","HAVILAND, BRIAN DOUGLAS",177
Clark,"JUSTICE OF THE PEACE, BOULDER TWNSH","MILLER, VICTOR LEE",4745
Clark,"JUSTICE OF THE PEACE, BOULDER TWNSH","MARTIN, ROBERT D.",1999
Clark,"JUSTICE OF THE PEACE, GOODSPRINGS TWNSH","SHUPE, LARRY",383
Clark,"JUSTICE OF THE PEACE, GOODSPRINGS TWNSH","CARTER, AMBER",366
Clark,"JUSTICE OF THE PEACE, LAS VEGAS TWNSH DEPARTMENT 1","GRAHAM, ELANA LEE",203003
Clark,"JUSTICE OF THE PEACE, LAS VEGAS TWNSH DEPARTMENT 1","LEAVITT, JAMES DEAN",149115
Douglas,UNITED STATES SENATOR,"HELLER, DEAN (INCUMBENT)",16742
Douglas,UNITED STATES SENATOR,"ROSEN, JACKY",8301
Douglas,UNITED STATES SENATOR,NONE OF THESE CANDIDATES,388
