county,race,candidate,votes
Pershing,ATTORNEY GENERAL,"DUNCAN, WES",1249
Pershing,ATTORNEY GENERAL,"FORD, AARON",346
Pershing,ATTORNEY GENERAL,"HANSEN, JOEL F.",101
Pershing,ATTORNEY GENERAL,NONE OF THESE CANDIDATES,60
Pershing,"STATE SENATE, DISTRICT 14","HANSEN, IRA",1315
Pershing,"STATE SENATE, DISTRICT 14","BOSZAK, WENDY",422
Pershing,"STATE ASSEMBLY, DISTRICT 32","HANSEN, ALEXIS M.",1301
Pershing,"STATE ASSEMBLY, DISTRICT 32","POVILAITIS, PAULA",429
Pershing,"SUPREME COURT JUSTICE, SEAT C","CADISH, ELISSA",635
Pershing,"SUPREME COURT JUSTICE, SEAT C","TAO, JERRY",620
Pershing,"SUPREME COURT JUSTICE, SEAT C",NONE OF THESE CANDIDATES,394
Pershing,"SUPREME COURT JUSTICE, SEAT F","SILVER, ABBI",1132
Pershing,"SUPREME COURT JUSTICE, SEAT F",NONE OF THESE CANDIDATES,456
Pershing,"SUPREME COURT JUSTICE, SEAT G","STIGLICH, LIDIA (INCUMBENT)",732
Pershing,"SUPREME COURT JUSTICE, SEAT G","HARTER, MATHEW",529
Pershing,"SUPREME COURT JUSTICE, SEAT G",NONE OF THESE CANDIDATES,386
Pershing,COUNTY ASSESSOR,"BASSO-CERINI, LAUREEN E. (INCUMBENT)",1593
Pershing,COUNTY CLERK-TREASURER,"DONALDSON, LACEY (INCUMBENT)",1385
Pershing,"COUNTY COMMISSIONER, SEAT C","SHANK, CAROL A. (INCUMBENT)",1078
Pershing,"COUNTY COMMISSIONER, SEAT C","BERGE, KRISTY",661
Pershing,DISTRICT ATTORNEY,"SHIELDS, R. BRYCE (INCUMBENT)",1575
Pershing,PUBLIC ADMINISTRATOR,"KEARNS, JEFFREY (INCUMBENT)",1576
Pershing,COUNTY RECORDER-AUDITOR,"CHILDS, RENE M. (INCUMBENT)",1612
Pershing,"SCHOOL DISTRICT BOARD OF TRUSTEES, SEAT C","PLUMMER, CINDY",924
Pershing,"SCHOOL DISTRICT BOARD OF TRUSTEES, SEAT C","RACKLEY, BARBARA",665
Storey,UNITED STATES SENATOR,"HELLER, DEAN (INCUMBENT)",1495
Storey,UNITED STATES SENATOR,"ROSEN, JACKY",724
Storey,UNITED STATES SENATOR,NONE OF THESE CANDIDATES,51
Storey,UNITED STATES SENATOR,"MICHAELS, BARRY",32
Storey,UNITED STATES SENATOR,"HAGAN, TIM",32
Storey,UNITED STATES SENATOR,"BAKARI, KAMAU A.",26
Storey,"U.S. REPRESENTATIVE IN CONGRESS, DIST. 2","AMODEI, MARK E. (INCUMBENT)",1608
Storey,"U.S. REPRESENTATIVE IN CONGRESS, DIST. 2","KOBLE, CLINT",722
Storey,GOVERNOR,"LAXALT, ADAM PAUL",1476
Storey,GOVERNOR,"SISOLAK, STEVE",721
Storey,GOVERNOR,"BUNDY, RYAN",61
Storey,GOVERNOR,NONE OF THESE CANDIDATES,40
Storey,GOVERNOR,"BEST, RUSSELL",34
Storey,GOVERNOR,"LORD, JARED",27
Storey,LIEUTENANT GOVERNOR,"ROBERSON, MICHAEL",1351
Storey,LIEUTENANT GOVERNOR,"MARSHALL, KATE",818
Storey,LIEUTENANT GOVERNOR,"HANSEN, JANINE",108
Storey,LIEUTENANT GOVERNOR,NONE OF THESE CANDIDATES,45
Storey,LIEUTENANT GOVERNOR,"UEHLING, ED",32
Storey,SECRETARY OF STATE,"CEGAVSKE, BARBARA K. (INCUMBENT)",1561
Storey,SECRETARY OF STATE,"ARAUJO, NELSON",727
Storey,SECRETARY OF STATE,NONE OF THESE CANDIDATES,66
Storey,STATE TREASURER,"BEERS, BOB",1503
Storey,STATE TREASURER,"CONINE, ZACH",688
Storey,STATE TREASURER,"HOGE, BILL",78
Storey,STATE TREASURER,NONE OF THESE CANDIDATES,73
Storey,STATE CONTROLLER,"KNECHT, RON (INCUMBENT)",1529
Storey,STATE CONTROLLER,"BYRNE, CATHERINE",746
Storey,STATE CONTROLLER,NONE OF THESE CANDIDATES,72
Storey,ATTORNEY GENERAL,"DUNCAN, WES",1469
Storey,ATTORNEY GENERAL,"FORD, AARON",665
Storey,ATTORNEY GENERAL,"HANSEN, JOEL F.",113
Storey,ATTORNEY GENERAL,NONE OF THESE CANDIDATES,98
Storey,"STATE SENATE, DISTRICT 17","SETTELMEYER, JAMES ARNOLD (INCUMBENT)",1569
Storey,"STATE SENATE, DISTRICT 17","CANNON, CURTIS W.",761
Storey,"STATE ASSEMBLY, DISTRICT 39","WHEELER, JIM (INCUMBENT)",1491
Storey,"STATE ASSEMBLY, DISTRICT 39","ACKERMAN, PATRICIA",783
Storey,"STATE ASSEMBLY, DISTRICT 39","CWALINA, PAUL",60
Storey,"SUPREME COURT JUSTICE, SEAT C","CADISH, ELISSA",922
Storey,"SUPREME COURT JUSTICE, SEAT C","TAO, JERRY",787
Storey,"SUPREME COURT JUSTICE, SEAT C",NONE OF THESE CANDIDATES,499
Storey,"SUPREME COURT JUSTICE, SEAT F","SILVER, ABBI",1549
Storey,"SUPREME COURT JUSTICE, SEAT F",NONE OF THESE CANDIDATES,586
Storey,"SUPREME COURT JUSTICE, SEAT G","STIGLICH, LIDIA (INCUMBENT)",1006
Storey,"SUPREME COURT JUSTICE, SEAT G","HARTER, MATHEW",706
Storey,"SUPREME COURT JUSTICE, SEAT G",NONE OF THESE CANDIDATES,484
Storey,DISTRICT ATTORNEY,"LANGER, ANNE (INCUMBENT)",1965
Storey,"COUNTY COMMISSIONER, DISTRICT 2","CARMONA, JAY",1427
Storey,"COUNTY COMMISSIONER, DISTRICT 2","BARDE, NICOLE",883
Storey,COUNTY CLERK-TREASURER,"STEPHENS, VANESSA (INCUMBENT)",2061
Storey,COUNTY RECORDER,"CHAPMAN, JEN (INCUMBENT)",2052
Storey,COUNTY ASSESSOR,"SEDDON, JANA (INCUMBENT)",2029
Storey,"SCHOOL BOARD, SEAT 2-A","NEVIN, JEFFREY M.",1173
Storey,"SCHOOL BOARD, SEAT 2-A","TOLL, SAM",974
Washoe,UNITED STATES SENATOR,"ROSEN, JACKY",93823
Washoe,UNITED STATES SENATOR,"HELLER, DEAN (INCUMBENT)",86983
Washoe,UNITED STATES SENATOR,NONE OF THESE CANDIDATES,2829
Washoe,UNITED STATES SENATOR,"HAGAN, TIM",1715
Washoe,UNITED STATES SENATOR,"MICHAELS, BARRY",1682
Washoe,UNITED STATES SENATOR,"BAKARI, KAMAU A.",1184
Washoe,"U.S. REPRESENTATIVE IN CONGRESS, DIST. 2","AMODEI, MARK E. (INCUMBENT)",94857
Washoe,"U.S. REPRESENTATIVE IN CONGRESS, DIST. 2","KOBLE, CLINT",90700
Washoe,GOVERNOR,"SISOLAK, STEVE",91683
Washoe,GOVERNOR,"LAXALT, ADAM PAUL",87225
Washoe,GOVERNOR,NONE OF THESE CANDIDATES,3668
Washoe,GOVERNOR,"BEST, RUSSELL",1961
Washoe,GOVERNOR,"LORD, JARED",1816
Washoe,GOVERNOR,"BUNDY, RYAN",1742
Washoe,LIEUTENANT GOVERNOR,"MARSHALL, KATE",95212
Washoe,LIEUTENANT GOVERNOR,"ROBERSON, MICHAEL",80796
Washoe,LIEUTENANT GOVERNOR,"HANSEN, JANINE",4977
Washoe,LIEUTENANT GOVERNOR,NONE OF THESE CANDIDATES,4162
Washoe,LIEUTENANT GOVERNOR,"UEHLING, ED",1626
Washoe,SECRETARY OF STATE,"CEGAVSKE, BARBARA K. (INCUMBENT)",91786
Washoe,SECRETARY OF STATE,"ARAUJO, NELSON",90348
Washoe,SECRETARY OF STATE,NONE OF THESE CANDIDATES,4872
Washoe,STATE TREASURER,"BEERS, BOB",88548
Washoe,STATE TREASURER,"CONINE, ZACH",86747
Washoe,STATE TREASURER,NONE OF THESE CANDIDATES,5824
Washoe,STATE TREASURER,"HOGE, BILL",5206
Washoe,STATE CONTROLLER,"BYRNE, CATHERINE",91764
Washoe,STATE CONTROLLER,"KNECHT, RON (INCUMBENT)",88076
Washoe,STATE CONTROLLER,NONE OF THESE CANDIDATES,6313
Washoe,ATTORNEY GENERAL,"DUNCAN, WES",89825
Washoe,ATTORNEY GENERAL,"FORD, AARON",83969
Washoe,ATTORNEY GENERAL,"HANSEN, JOEL F.",7586
Washoe,ATTORNEY GENERAL,NONE OF THESE CANDIDATES,5481
Washoe,"STATE SENATE, DISTRICT 13","RATTI, JULIA (INCUMBENT)",27078
Washoe,"STATE SENATE, DISTRICT 13","YOUNG, CHARLENE Y.",11415
Washoe,"STATE SENATE, DISTRICT 14","HANSEN, IRA",23604
Washoe,"STATE SENATE, DISTRICT 14","BOSZAK, WENDY",18347
Washoe,"STATE SENATE, DISTRICT 16","KIECKHEFER, BEN (INCUMBENT)",23813
Washoe,"STATE SENATE, DISTRICT 16","DAVIS-HERSEY, TINA",17644
Washoe,"STATE SENATE, DISTRICT 16","WAGNER, JOHN",1241
Washoe,"STATE ASSEMBLY, DISTRICT 24","PETERS, SARAH",16629
Washoe,"STATE ASSEMBLY, DISTRICT 25","TOLLES, JILL (INCUMBENT)",20382
Washoe,"STATE ASSEMBLY, DISTRICT 25","SHORTS, GREGORY J.",14157
Washoe,"STATE ASSEMBLY, DISTRICT 26","KRASNER, LISA (INCUMBENT)",20951
Washoe,"STATE ASSEMBLY, DISTRICT 26","JOSEPH, JUNE",15580
Washoe,"STATE ASSEMBLY, DISTRICT 27","BENITEZ-THOMPSON, TERESA (INCUMBENT)",18410
Washoe,"STATE ASSEMBLY, DISTRICT 30","SPRINKLE, MICHAEL (INCUMBENT)",16205
Washoe,"STATE ASSEMBLY, DISTRICT 31","DALY, RICHARD ""SKIP"" (INCUMBENT)",15054
Washoe,"STATE ASSEMBLY, DISTRICT 31","DICKMAN, JILL ANN",13949
Washoe,"STATE ASSEMBLY, DISTRICT 32","HANSEN, ALEXIS M.",8500
Washoe,"STATE ASSEMBLY, DISTRICT 32","POVILAITIS, PAULA",4491
Washoe,"STATE ASSEMBLY, DISTRICT 40","KRAMER, AL (INCUMBENT)",3731
Washoe,"STATE ASSEMBLY, DISTRICT 40","ZEMKE, AUTUMN",2322
Washoe,"SUPREME COURT JUSTICE, SEAT C","CADISH, ELISSA",91262
Washoe,"SUPREME COURT JUSTICE, SEAT C","TAO, JERRY",45306
Washoe,"SUPREME COURT JUSTICE, SEAT C",NONE OF THESE CANDIDATES,34591
Washoe,"SUPREME COURT JUSTICE, SEAT F","SILVER, ABBI",126060
Washoe,"SUPREME COURT JUSTICE, SEAT F",NONE OF THESE CANDIDATES,38387
Washoe,"SUPREME COURT JUSTICE, SEAT G","STIGLICH, LIDIA (INCUMBENT)",94918
Washoe,"SUPREME COURT JUSTICE, SEAT G","HARTER, MATHEW",47214
Washoe,"SUPREME COURT JUSTICE, SEAT G",NONE OF THESE CANDIDATES,30376
Washoe,"DISTRICT COURT JUDGE, DISTRICT 2, DEPARTMENT 1","DRAKULICH, KATHLEEN M. (INCUMBENT)",148319
Washoe,"DISTRICT COURT JUDGE, DISTRICT 2, DEPARTMENT 2","GROSSMAN, DIXIE (INCUMBENT)",89677
Washoe,"DISTRICT COURT JUDGE, DISTRICT 2, DEPARTMENT 2","BUSHUR, AARON",63818
Washoe,"DISTRICT COURT JUDGE, DISTRICT 2, DEPARTMENT 7","WALKER, EGAN (INCUMBENT)",142006
Washoe,"DISTRICT COURT JUDGE, DISTRICT 2, DEPARTMENT 8","BRESLOW, BARRY (INCUMBENT)",142317
Washoe,DISTRICT ATTORNEY,"HICKS, CHRIS (INCUMBENT)",143381
Washoe,COUNTY ASSESSOR,"CLARK, MICHAEL E. (INCUMBENT)",91757
Washoe,COUNTY ASSESSOR,"EVANS, HUGH ""CHIP""",91220
Washoe,PUBLIC ADMINISTRATOR,"CAVALLO, DON (INCUMBENT)",96251
Washoe,PUBLIC ADMINISTRATOR,"PROTHRO, VERITA BLACK",85887
Washoe,COUNTY RECORDER,"WORK, KALIE",94551
Washoe,COUNTY RECORDER,"BURTNESS, LAWRENCE (INCUMBENT)",87165
Washoe,COUNTY TREASURER,"DAVIS, TAMMI (INCUMBENT)",95917
Washoe,COUNTY TREASURER,"BUEHLER, MATTHEW R.",85735
Washoe,COUNTY CLERK,"PARENT, NANCY (INCUMBENT)",100688
Washoe,COUNTY CLERK,"TUDORACHE, EMIL",81212
Washoe,"COUNTY COMMISSION, DISTRICT 2","LUCEY, BOB (INCUMBENT)",23331
Washoe,"COUNTY COMMISSION, DISTRICT 2","WOLGAST, STEPHEN",19639
Washoe,"COUNTY COMMISSION, DISTRICT 3","JUNG, KITTY K. (INCUMBENT)",15326
Washoe,"COUNTY COMMISSION, DISTRICT 3","JOHNSON, BILL",7091
Washoe,"COUNTY COMMISSION, DISTRICT 5","HERMAN, JEANNE (INCUMBENT)",17309
Washoe,"COUNTY COMMISSION, DISTRICT 5","JUDD, LINDSY",16058
Washoe,"CONSTABLE, INCLINE VILLAGE","KELLER, HANS R. (INCUMBENT)",4104
Washoe,INCLINE VILLAGE GENERAL IMPROVEMENT DISTRICT,"WONG, KENDRA W. (INCUMBENT)",2442
Washoe,INCLINE VILLAGE GENERAL IMPROVEMENT DISTRICT,"CALLICRATE, TIM G. (INCUMBENT)",2293
Washoe,INCLINE VILLAGE GENERAL IMPROVEMENT DISTRICT,"SCHMITZ, SARA",2279
Washoe,INCLINE VILLAGE GENERAL IMPROVEMENT DISTRICT,"SIMONIAN, BRUCE EDWARD",2224
Washoe,VERDI TV DISTRICT,"ZUNINO, NANCY E. (INCUMBENT)",4384
Washoe,VERDI TV DISTRICT,"HORTON, HUD",2798
Washoe,VERDI TV DISTRICT,"COMER, BRUCE",2165
Washoe,VERDI TV DISTRICT,"BEIN, RICHARD (INCUMBENT)",1881
Washoe,VERDI TV DISTRICT,"UNSWORTH, ROBERT",1400
Washoe,"SCHOOL BOARD TRUSTEE, DISTRICT B","MINETTO, ELLEN",16127
Washoe,"SCHOOL BOARD TRUSTEE, DISTRICT B","VANDERWELL, DIAN",10116
Washoe,"SCHOOL BOARD TRUSTEE, DISTRICT C","CAUDILL, ANDREW BENJAMIN",16892
Washoe,"SCHOOL BOARD TRUSTEE, DISTRICT C","FEEMSTER, DEBRA SMITH",15312
Washoe,"SCHOOL BOARD TRUSTEE, DISTRICT F AT-LARGE","CALVERT, JACQUELINE",39313
Washoe,"SCHOOL BOARD TRUSTEE, DISTRICT F AT-LARGE","CHURCH, JEFFREY",32869
Washoe,PALOMINO VALLEY GENERAL IMPROVEMENT DISTRICT,"DENNIS, GREG (INCUMBENT)",455
Washoe,PALOMINO VALLEY GENERAL IMPROVEMENT DISTRICT,"JOHNSON, LARRY J. (INCUMBENT)",450
Washoe,PALOMINO VALLEY GENERAL IMPROVEMENT DISTRICT,"OTTO, DONALD",406
Washoe,PALOMINO VALLEY GENERAL IMPROVEMENT DISTRICT,"RHODES, ZACHARY",373
Washoe,PALOMINO VALLEY GENERAL IMPROVEMENT DISTRICT,"CURRIVAN, JAMES (INCUMBENT)",373
Washoe,SHERIFF,"BALAAM, DARIN",91637
Washoe,SHERIFF,"HOWE, HEIDI",77377
Washoe,SUN VALLEY GENERAL IMPROVEMENT DISTRICT,"AINSWORTH, SANDRA (INCUMBENT)",2026
Washoe,SUN VALLEY GENERAL IMPROVEMENT DISTRICT,"SEVERT, SUSAN (INCUMBENT)",1540
Washoe,SUN VALLEY GENERAL IMPROVEMENT DISTRICT,"RIDER, MICHAEL",1472
Washoe,SUN VALLEY GENERAL IMPROVEMENT DISTRICT,"DUTRA, SUZANNE",1203
Washoe,CITY OF RENO MAYOR,"SCHIEVE, HILLARY (INCUMBENT)",57577
Washoe,CITY OF RENO MAYOR,"LORTON, EDDIE",31684
Washoe,RENO CITY ATTORNEY,"HALL, KARL S. (INCUMBENT)",41215
Washoe,RENO CITY ATTORNEY,"KADLIC, JOHN J.",36797
Washoe,"RENO CITY COUNCIL, WARD 2","DUERR, NAOMI (INCUMBENT)",12777
Washoe,"RENO CITY COUNCIL, WARD 2","LAWRENCE, JOE",8095
Washoe,"RENO CITY COUNCIL, WARD 4","WEBER, BONNIE",7151
Washoe,"RENO CITY COUNCIL, WARD 4","MCKENZIE, PAUL D. (INCUMBENT)",5340
White Pine,UNITED STATES SENATOR,"HELLER, DEAN (INCUMBENT)",2102
White Pine,UNITED STATES SENATOR,"ROSEN, JACKY",581
White Pine,UNITED STATES SENATOR,NONE OF THESE CANDIDATES,96
White Pine,UNITED STATES SENATOR,"MICHAELS, BARRY",49
White Pine,UNITED STATES SENATOR,"BAKARI, KAMAU A.",46
White Pine,UNITED STATES SENATOR,"HAGAN, TIM",31
White Pine,"U.S. REPRESENTATIVE IN CONGRESS, DIST. 4","HARDY, CRESENT",2089
White Pine,"U.S. REPRESENTATIVE IN CONGRESS, DIST. 4","HORSFORD, STEVEN A.",644
White Pine,"U.S. REPRESENTATIVE IN CONGRESS, DIST. 4","MCGONIGLE, DEAN",44
White Pine,"U.S. REPRESENTATIVE IN CONGRESS, DIST. 4","MARKOWITZ, WARREN ROSS",40
White Pine,"U.S. REPRESENTATIVE IN CONGRESS, DIST. 4","SMITH, RODNEY",34
White Pine,"U.S. REPRESENTATIVE IN CONGRESS, DIST. 4","LUCKNER, GREGG",20
White Pine,GOVERNOR,"LAXALT, ADAM PAUL",2117
White Pine,GOVERNOR,"SISOLAK, STEVE",516
White Pine,GOVERNOR,"BUNDY, RYAN",147
White Pine,GOVERNOR,NONE OF THESE CANDIDATES,68
White Pine,GOVERNOR,"BEST, RUSSELL",36
White Pine,GOVERNOR,"LORD, JARED",23
White Pine,LIEUTENANT GOVERNOR,"ROBERSON, MICHAEL",1913
White Pine,LIEUTENANT GOVERNOR,"MARSHALL, KATE",657
White Pine,LIEUTENANT GOVERNOR,"HANSEN, JANINE",132
White Pine,LIEUTENANT GOVERNOR,NONE OF THESE CANDIDATES,127
White Pine,LIEUTENANT GOVERNOR,"UEHLING, ED",58
White Pine,SECRETARY OF STATE,"CEGAVSKE, BARBARA K. (INCUMBENT)",2127
White Pine,SECRETARY OF STATE,"ARAUJO, NELSON",590
White Pine,SECRETARY OF STATE,NONE OF THESE CANDIDATES,170
White Pine,STATE TREASURER,"BEERS, BOB",2079
White Pine,STATE TREASURER,"CONINE, ZACH",589
White Pine,STATE TREASURER,NONE OF THESE CANDIDATES,132
White Pine,STATE TREASURER,"HOGE, BILL",86
White Pine,STATE CONTROLLER,"KNECHT, RON (INCUMBENT)",2087
White Pine,STATE CONTROLLER,"BYRNE, CATHERINE",661
White Pine,STATE CONTROLLER,NONE OF THESE CANDIDATES,133
White Pine,ATTORNEY GENERAL,"DUNCAN, WES",2040
White Pine,ATTORNEY GENERAL,"FORD, AARON",579
White Pine,ATTORNEY GENERAL,"HANSEN, JOEL F.",144
White Pine,ATTORNEY GENERAL,NONE OF THESE CANDIDATES,121
White Pine,"STATE ASSEMBLY, DISTRICT 33","ELLISON, JOHN C. (INCUMBENT)",2555
White Pine,"SUPREME COURT JUSTICE, SEAT C","TAO, JERRY",1048
White Pine,"SUPREME COURT JUSTICE, SEAT C","CADISH, ELISSA",1007
White Pine,"SUPREME COURT JUSTICE, SEAT C",NONE OF THESE CANDIDATES,645
White Pine,"SUPREME COURT JUSTICE, SEAT F","SILVER, ABBI",1863
White Pine,"SUPREME COURT JUSTICE, SEAT F",NONE OF THESE CANDIDATES,719
White Pine,"SUPREME COURT JUSTICE, SEAT G","HARTER, MATHEW",1233
White Pine,"SUPREME COURT JUSTICE, SEAT G","STIGLICH, LIDIA (INCUMBENT)",757
White Pine,"SUPREME COURT JUSTICE, SEAT G",NONE OF THESE CANDIDATES,658
White Pine,DISTRICT ATTORNEY,"WHEABLE, MICHAEL A. (INCUMBENT)",2558
White Pine,COUNTY ASSESSOR,"HILTON, BURTON W. (INCUMBENT)",2574
White Pine,COUNTY RECORDER,"SINDELAR, MARTHA RIVERA (INCUMBENT)",2303
White Pine,COUNTY TREASURER,"BAKARIC, CATHERINE (INCUMBENT)",2631
White Pine,COUNTY CLERK,"BALDWIN, NICHOLE (INCUMBENT)",2508
White Pine,"COUNTY COMMISSIONER, SEAT 1","BULLIS, IAN",1880
White Pine,"COUNTY COMMISSIONER, SEAT 1","CHACHAS, GEORGE",956
White Pine,"COUNTY COMMISSIONER, SEAT 5","GODON, TRAVIS",2561
White Pine,"SCHOOL BOARD TRUSTEE, DISTRICT E","ADAMS, AMY",1581
White Pine,"SCHOOL BOARD TRUSTEE, DISTRICT E","WILLES, CADE H.",1058
White Pine,"WHITE PINE TV DISTRICT NO. 1, SEAT B","BECKWITH, SID",1736
White Pine,"WHITE PINE TV DISTRICT NO. 1, SEAT B","SKYE, ERICSON",832
White Pine,SHERIFF,"HENRIOD, SCOTT (INCUMBENT)",1759
White Pine,SHERIFF,"SAWYER, RAY",1089
White Pine,"JUSTICE OF THE PEACE, ELY TOWNSHIP, NO. 1","BISHOP, STEPHEN J. (INCUMBENT)",1434
White Pine,"JUSTICE OF THE PEACE, ELY TOWNSHIP, NO. 1","HIBBS, MATT",1370
